handle,time,text
HillaryClinton,2016-09-28T00:22:34,The question in this election: Who can put the plans into action that will make your life better? https://t.co/XreEY9OicG
HillaryClinton,2016-09-27T23:08:41,"If we stand together, there's nothing we can't do. 

Make sure you're ready to vote: https://t.co/tTgeqxNqYm https://t.co/Q3Ymbb7UNy"
HillaryClinton,2016-09-27T22:30:27,Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. https://t.co/sjnEokckis
realDonaldTrump,2016-09-27T22:13:24,"Join me for a 3pm rally - tomorrow at the Mid-America Center in Council Bluffs, Iowa! Tickets:… https://t.co/dfzsbICiXc"
HillaryClinton,2016-09-27T21:35:28,This election is too important to sit out. Go to https://t.co/tTgeqxNqYm and make sure you're registered. #NationalVoterRegistrationDay -H
HillaryClinton,2016-09-27T21:25:31,When Donald Trump goes low...register to vote: https://t.co/tTgeqxNqYm https://t.co/DXz9dEwsZS
realDonaldTrump,2016-09-27T21:08:22,"Once again, we will have a government of, by and for the people. Join the MOVEMENT today! https://t.co/lWjYDbPHav https://t.co/uYwJrtZkAe"
realDonaldTrump,2016-09-27T20:14:33,"Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure: 
https://t.co/zhkEfUouHH"
realDonaldTrump,2016-09-27T20:06:25,"'CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGA
https://t.co/PGimqYKPoJ"
HillaryClinton,2016-09-27T19:59:28,Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.) https://t.co/h43O6Rws4S
realDonaldTrump,2016-09-27T19:59:04,Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou https://t.co/vxWZ2tyJTF
realDonaldTrump,2016-09-27T19:37:22,"In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA"
HillaryClinton,2016-09-27T19:31:01,"“She gained about 55 pounds in...9 months. She was like an eating machine.” —Trump, a man who wants to be president: https://t.co/1ht91eZCyw"
HillaryClinton,2016-09-27T18:45:39,It's #NationalVoterRegistrationDay. Celebrate by registering to vote → https://t.co/tTgeqxNqYm https://t.co/R6lVvgLECG
HillaryClinton,2016-09-27T18:12:06,"""I love this country.
I’m proud of this country.
I want to be a leader who brings people together.""
—Hillary #LoveTrumpsHate"
HillaryClinton,2016-09-27T18:10:07,"We don’t want to turn against each other.
We want to work with one another.
We want to set big goals in this country.
#StrongerTogether"
HillaryClinton,2016-09-27T18:06:28,"""What we hear from my opponent is dangerously incoherent. It's unclear what he's saying, but words matter."" —Hillary"
HillaryClinton,2016-09-27T18:05:27,One candidate made it clear he wasn’t prepared for last night’s debate. The other made it clear she’s prepared to b… https://t.co/InYZBmnbBM
HillaryClinton,2016-09-27T18:02:54,"""What kind of a person would want to root for 9 million families losing their homes?

One who should never be president."" —Hillary on Trump"
HillaryClinton,2016-09-27T17:58:15,"""I don’t think that any family should have to pay more than 10% of their income on child care.” —Hillary https://t.co/pepW0auI8n"
HillaryClinton,2016-09-27T17:55:26,"""I’m really glad my dad never had a contract with Donald Trump.” —Hillary https://t.co/un2YiRLEYF"
HillaryClinton,2016-09-27T17:52:47,"When you work hard, you should not be living in poverty. https://t.co/86sTOCAkkq"
realDonaldTrump,2016-09-27T17:47:36,"Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!"
HillaryClinton,2016-09-27T17:44:07,"""We may have a record-setting turnout in this election.

We could have the biggest turnout we've ever had."" https://t.co/tTgeqxNqYm"
HillaryClinton,2016-09-27T17:40:05,"""You can go to https://t.co/tTgeqxNqYm to make sure you are registered. And I hope you all will.” —Hillary #NationalVoterRegistrationDay"
HillaryClinton,2016-09-27T17:35:08,Join Hillary live in NC for her first rally since winning last night's debate → https://t.co/DzEpIDf7HY #NationalVoterRegistrationDay
HillaryClinton,2016-09-27T17:07:22,"“Donald just criticized me for preparing for this debate. And you know what else I prepared for?

I prepared to be… https://t.co/QjB01msPaT"
realDonaldTrump,2016-09-27T16:58:58,"Thank you for your endorsement, @GovernorSununu. #MAGA 
https://t.co/8BEeQPsuyd"
HillaryClinton,2016-09-27T16:54:22,Hillary was the winner of the first presidential debate—and newspapers across America agree. #SheWon… https://t.co/oDiUHd0eXO
HillaryClinton,2016-09-27T16:12:28,"""She gained a massive amount of weight...it was a real problem."" —Trump this morning on Alicia Machado https://t.co/LJPlFegSTs"
HillaryClinton,2016-09-27T15:54:07,"When you have a really, really good night. #SheWon https://t.co/FVeGqhYxRZ"
realDonaldTrump,2016-09-27T15:47:29,"Such a great honor. Final debate polls are in - and the MOVEMENT wins!
#AmericaFirst #MAGA #ImWithYou… https://t.co/DV1BKMwHEM"
HillaryClinton,2016-09-27T15:42:48,"""Register. Vote. Go out and get engaged!” —@JoeBiden #NationalVoterRegistrationDay https://t.co/tTgeqxNqYm"
HillaryClinton,2016-09-27T15:32:57,"""I'm glad Trump found out that Crimea was part of Ukraine. By the way, I heard he was on the verge of acknowledging gravity."" —@JoeBiden"
HillaryClinton,2016-09-27T15:26:17,"“Let me tell you who built this damn country: the middle class.” —@JoeBiden

Let's keep building it, together: https://t.co/tTgeqxNqYm"
HillaryClinton,2016-09-27T15:12:56,One moment last night that proved—again—that Hillary's the only candidate ready to lead on the global stage: https://t.co/i4lrw7BpE9 #SheWon
realDonaldTrump,2016-09-27T14:55:57,'U.S. Murders Increased 10.8% in 2015' via @WSJ: https://t.co/CIJMQJhLqp
