district,month,N_crimes,N_violent_crimes,N_nonviolent_crimes,crime_rate,arrest_rate
19,8,1177,218,959,average,0.12
16,6,727,189,538,average,0.11
4,7,1266,435,831,average,0.19
24,8,771,174,597,average,0.13
17,8,635,159,476,low,0.1
31,6,2,1,1,low,0
4,8,1374,442,932,average,0.21
6,6,1478,467,1011,high,0.21
2,8,1052,309,743,average,0.13
9,8,983,288,695,average,0.18
10,6,1141,343,798,average,0.29
17,7,671,158,513,low,0.08
7,7,1410,525,885,average,0.25
5,6,1159,402,757,average,0.19
20,7,456,118,338,low,0.12
15,8,891,343,548,average,0.19
1,6,1375,213,1162,average,0.14
22,6,792,214,578,average,0.18
20,8,473,108,365,low,0.1
18,8,1561,238,1323,high,0.11
25,8,1160,303,857,average,0.17
3,7,1089,375,714,average,0.17
5,8,1106,357,749,average,0.22
16,7,714,185,529,low,0.12
10,8,1171,367,804,average,0.3
6,7,1568,542,1026,high,0.21
17,6,668,153,515,low,0.1
31,8,1,,1,low,0
10,7,1149,357,792,average,0.31
19,7,1151,209,942,average,0.13
7,6,1223,435,788,average,0.23
12,6,1156,269,887,average,0.12
22,7,786,219,567,average,0.18
3,6,1136,407,729,average,0.18
8,6,1458,403,1055,high,0.16
9,7,1076,310,766,average,0.17
2,6,1119,325,794,average,0.12
19,6,1091,227,864,average,0.13
24,6,666,196,470,low,0.14
12,7,1212,286,926,average,0.15
14,6,828,182,646,average,0.14
25,7,1265,361,904,average,0.17
18,6,1427,221,1206,average,0.13
15,7,994,336,658,average,0.24
8,7,1562,434,1128,high,0.15
9,6,1027,325,702,average,0.17
2,7,1147,341,806,average,0.12
11,7,1671,545,1126,high,0.31
4,6,1248,439,809,average,0.22
6,8,1520,453,1067,high,0.25
24,7,763,224,539,average,0.13
11,8,1740,535,1205,high,0.35
16,8,768,197,571,average,0.12
14,7,844,179,665,average,0.11
5,7,1116,369,747,average,0.24
25,6,1083,348,735,average,0.2
18,7,1503,272,1231,high,0.15
3,8,1136,366,770,average,0.2
15,6,886,299,587,average,0.23
1,8,1547,219,1328,high,0.13
8,8,1496,405,1091,high,0.14
22,8,715,165,550,average,0.17
20,6,451,130,321,low,0.12
1,7,1370,233,1137,average,0.13
7,8,1425,503,922,average,0.22
14,8,831,191,640,average,0.12
11,6,1664,516,1148,high,0.32
12,8,1252,291,961,average,0.12
