province,district,year,event_count,occurrence,Q2,Q263,Q3,Q4,Q5
1,100,2008,5,Violence,1.3,2.8,1.4210526315789473,2.9,3.4
1,101,2008,5,Violence,1.6,1.1,1.6,1.7,2.3
1,102,2008,5,Violence,1.3,2.45,1.35,2.3,3.3
1,103,2008,5,Violence,1.7,2.5,1.4,2.1,3.2
1,104,2008,5,Violence,1.95,2.210526315789474,1.4736842105263157,2.55,3.3157894736842106
1,105,2008,5,Violence,1,3.1,1.3,2.5,3.1
1,106,2008,5,Violence,1.25,1.25,0.85,1.7,2.75
1,107,2008,5,Violence,2,1.7,1,2.9,3.8
1,108,2008,5,Violence,1.55,2.8,1.15,2.35,3.6
1,109,2008,5,Violence,1.2,2.4,1.2,3,3.4444444444444446
1,110,2008,5,Violence,1.8,2.1,1.2,3.2,3.2
1,111,2008,5,Violence,1.2,1.4,0.8,0.9,2.5
1,113,2008,5,Violence,1.6,1.6,1.4,1,2.3
1,115,2008,5,Violence,1.1,3.1,1,2.4,3
1,120,2008,5,Violence,1.2,2.4,1,2.7,3.4
1,124,2008,5,Violence,1.6,2.95,1.6,2.7,3.5
1,131,2008,5,Violence,0.95,3.15,0.65,1.95,2.75
2,132,2008,3,Violence,1.1282051282051282,2.975,0.8717948717948718,2.975,3.55
2,133,2008,3,Violence,0.55,1.9,0.45,2.35,2.5
2,134,2008,3,Violence,1.25,1.6,1.25,2.55,3.05
2,135,2008,3,Violence,1.25,2.85,1.3,2.2,3.5789473684210527
2,136,2008,3,Violence,1.35,3.35,1.15,3.2,4.1
2,138,2008,3,Violence,1.65,3.45,1.6,3.65,3.95
3,139,2008,4,Violence,1.525,2.45,1.3333333333333333,2.325,2.65
3,140,2008,4,Violence,2,3.55,1.8,2.55,3.7
3,141,2008,4,Violence,1.35,2.4,0.9473684210526315,2.3684210526315788,3.25
3,142,2008,4,Violence,1.75,2.9,1.5,3.25,4.05
3,143,2008,4,Violence,1.55,3.1,1.55,3.05,3.8
3,145,2008,4,Violence,1.35,2.4,0.9,2.4,2.5
3,148,2008,4,Violence,0.9,2.1,0.65,1.8888888888888888,2.35
4,149,2008,5,Violence,1.3157894736842106,2.6,1.1578947368421053,2.35,2.95
4,150,2008,5,Violence,0.41025641025641024,1.35,0.3333333333333333,1.625,2.175
4,151,2008,5,Violence,0.42105263157894735,1.2,0.45,0.9,1.5
4,152,2008,5,Violence,0.85,1.35,0.8947368421052632,1.3,2.2
4,154,2008,5,Violence,0.6842105263157895,2.75,0.9,2.4210526315789473,3
4,155,2008,5,Violence,1.05,1.65,1,2.05,2.85
4,157,2008,5,Violence,0.15,0.7,0.05,0,1
5,158,2008,6,Violence,0.20512820512820512,1,0.02564102564102564,0.9487179487179487,1.8717948717948718
5,159,2008,6,Violence,0.15,0.9,0.05,0.5789473684210527,1.45
5,160,2008,6,Violence,0.6,1.85,0.1282051282051282,1.55,2.025
5,161,2008,6,Violence,0.05263157894736842,1.0526315789473684,0.05263157894736842,1.105263157894737,2
5,162,2008,6,Violence,0,1.15,0,1.55,2.45
5,163,2008,6,Violence,0.45,1.6,0.05,1.35,2
6,165,2008,7,Violence,1.25,2.6,0.75,1.35,2.3
